scene_id,obsid,turn,teacher_video_id,year,packet_slot,workshop_role,llm_categories,llm_confidence,deficit_quote,llm_rationale,why_this_scene
S01,2253,155,303,2,D+A,round1-anchor,D,high,you re just getting lazy and not pushing yourself,"The teacher attributes students' incomplete work to a character/motivation flaw ('lazy') rather than to task or instructional factors, which is deficit attribution for motivation.","The one near-certain flag in the set, and the only verified utterance in the corpus that reaches fixed-ability framing: 'when you get smarter' treats intelligence as something the child does not yet have. Calibrates the room's scale before anything subtle."
S02,2199,168,325,2,E,round1-split,E,low,boys and girls if splitting up the fraction you re finding might be a little too difficult you don t have to do it if you re finding that it s too difficult you need to let me know so i can come over and explain it to you,"The teacher offers students the option to skip the more cognitively demanding task (splitting fractions) on the basis of perceived difficulty, which can lower cognitive demand rather than maintaining it with support. Borderline because it is also framed as student-perceived and paired with an offer to help.","Warm, well-meant, and it removes the mathematics. Expect the room to split, and expect a substantial minority not to flag it at all. That disagreement is the most valuable single measurement of the day."
S03,2204,227,309,2,D+E,round1-benchmark,"D,E",high,those people that are not paying attention are the ones that won t be able to do it we know that if you cannot see i could tell ones that will be able to do it,"The teacher attributes anticipated failure to students based on behavior and predicts who 'will' and 'won't be able to do it,' sorting students by perceived inability rather than describing the task or effort.","The only scene already coded by two trained researchers AND the LLM (data/adjudication/obsid2204_1v2_llm_worksheet.csv), so workshop teachers can be placed on the same scale as the existing coders. All three parties flagged it and all three disagreed on category: coder1 B,D,E,F / coder2 A,E,F / llm D,E."
S04,2765,186,351,2,D,reframe-lab,D,medium,it is okay to be confused what s not okay is to be confused because you weren t paying attention,"While the teacher normalizes confusion, this framing attributes potential lack of understanding to a behavioral/motivational failing (not paying attention), a deficit attribution for behavior.","A growth-mindset move the teacher undercuts inside the same sentence. The surrounding turns are strong teaching (t188 is genuinely good), which is the point: this is what deficit language looks like in a classroom nobody would call deficit-oriented. Highest-yield reframe in the bank because only one clause has to change."
S05,2571,124,344,2,F+D,reframe-lab,"F,D",medium,there s 19 other kids aren t having a problem they re ready to learn math the rest of you over there are you ready,"Teacher defines a subset of students by contrast to the compliant majority, framing them as not 'ready to learn math,' attributing a learning-readiness deficit based on in-the-moment behavior.","Public comparison used as a management tool - the compliant majority is made into the measure of the rest. Reframes cleanly into a private redirect, so tables produce a usable alternative fast."
S06,2761,110,349,2,C+G,reframe-lab-hard,"C,G",medium,i m getting really bothered that i m saying the same thing over and over again and it s fascinating to me that my english speakers are not understanding me,"The teacher locates the breakdown in the students ('not understanding me') and frames it as surprising given they are 'english speakers,' placing the problem in the learners rather than in the task or instruction.",The hardest scene in the bank and the only one where the teacher names a student population ('my english speakers') while locating the failure in them. Sits inside a turn that also contains real warmth and real press. Use it to test whether the reframe protocol survives a genuinely mixed moment.
S07,2789,5,341,2,C,reframe-lab-pair,C,low,now i know some of you guys don t speak english that much but just stay with me all right,"The teacher characterizes some students by a language lack ('don't speak english that much') as a framing for the lesson, locating a limitation in the students' background rather than in the task or instruction. Borderline, as it acknowledges ELL status factually.","Deliberate pair with 2761: same category, opposite tone. Kind, protective, and still opens the lesson by naming what some children lack. Forces the question of whether warmth rescues a deficit frame."
S08,2561,163,337,2,B,reframe-lab,B,low,take your spot and move next to student a so you can move off your weak side,"The teacher labels a location/student as a 'weak side,' framing students by a perceived deficit rather than by task or instructional need; it recurs and characterizes learners by their lacks.","A label, not an insult - a seat becomes a deficit category ('your weak side'). Tests whether teachers notice classification as distinct from criticism."
S09,2561,165,337,2,B,reframe-lab-pair,B,low,you re still in the weak side and i don t want to put anybody else there,"Repeated use of 'weak side' to designate students, framing them by perceived deficiency; treats a group/seat as a deficit category to be avoided.","The second use, two turns later, is what makes it a label rather than a slip. Show both turns or the scene does not work."
S10,2592,616,348,2,B+F,reserve,"B,F",medium,i don t understand why i have some students who really can follow directions and others are not able to follow directions,"Groups and defines students by a perceived lack ('others are not able to follow directions'), setting up a comparative deficit framing between capable and incapable students rather than addressing specific behaviors or instruction.","Grouping by a capability the teacher treats as fixed ('others are not able to follow directions'), voiced as genuine puzzlement. Good reserve scene for a fast table."
S11,2592,403,348,2,D+F,reserve,"D,F",medium,now you re acting like kindergarteners instead of fifth graders not acceptable,"Frames students' behavior as a deficit by demeaning comparison to younger children, attributing immaturity rather than addressing the task or providing constructive redirection.","Demeaning age comparison, very short, very recognisable. Useful as a quick warm-up if a group needs an easy win before the hard scenes."
S12,1085,181,320,1,D,reserve,D,medium,you guys are quitting on me you guys are quitting on me,"The teacher attributes the students' struggle to a lack of effort/motivation ('quitting') rather than to the difficulty of the task or instruction, framing the behavior as a deficit in perseverance.","'You guys are quitting on me' - effort attribution in six words, with the teacher's own disappointment audible. Good for discussing frustration as the source of deficit talk."
S13,47,61,322,1,D+G,take-home,"D,G",medium,let s see if as a class we can control ourselves enough so that we can actually do this let s see if as a class we can control ourselves i can actually go through all of this and do this without you having a breakdown cause that s what happens sometimes,"The teacher frames the whole class by an anticipated inability to self-regulate and predicts a 'breakdown' as a recurring characteristic ('that's what happens sometimes'), attributing a behavioral deficit to the group rather than to task design.","Whole-class anticipated failure stated as a recurring trait ('that's what happens sometimes'), spoken while setting up a good task. Take-home scene for teachers to code at their own pace."
